__label__3(1b),He glimpsed a trickle <head>of</head> moisture on her cheek where the light caught it .
__label__3(2),The sound of the door being closed reverberated <head>around</head> the silent corridors of the castle .
__label__1(1),"The tall black man chuckled , then sauntered <head>across</head> Wavebreaker 's gangplank ."
__label__1(1),"The hostess broke away from a clique of friends and bustled <head>towards</head> him , arms outstretched ."
__label__5(4),"They trotted <head>in</head> tandem around the floor , high-stepping to the whim of a muscular young man who held the reins behind them ."
__label__1(1),"` We 're gon na be late , "" said Jackie , hobbling <head>towards</head> the door ."
__label__6(3),The range is geographically important since it forms part of the main watershed <head>of</head> northern England .
__label__2(1a),"It may be relevant for the Industrial Tribunal to investigate whether at the time he was dismissed and if not then when thereafter , he knew that he had the right to complain that he had been unfairly dismissed ; in some cases the Tribunal may have to consider whether there has been any misrepresentation <head>about</head> any relevant matter by the employer to the employee ."
__label__1(1),"It crawls <head>down</head> the vine and enters the soil , whereupon it reaches and punctures the roots for nourishment ."
__label__4(3),Blood-beads had seeped <head>from</head> tiny capillaries in the butterfly 's wings .
__label__12(6a),"As Eve 's resentment <head>of</head> the family had grown , so had her interest in the cottage dwindled ."
__label__1(1),She backed hurriedly <head>from</head> the chamber and along the passageway .
__label__2(1a),That evening we camped <head>on</head> a hill overlooking Beni Abbes .
__label__1(1),"To his relief she wriggled <head>across</head> the seat , leaving room for him to get in beside her ."
__label__1(1),"Visible now only in the panoramic view , the young woman appeared to be throwing something <head>towards</head> the few remaining Counsellors ."
__label__2(2)-1,"While many hitherto disinterested onlookers could , perhaps , stomach the loss of several insect species ( even dragonflies and butterflies ) , there were few who were not moved by the prospect of extermination <head>for</head> a number of species of birds ."
__label__6(3),"THE grandfather <head>of</head> Cadbury Flake girl Rachel Brown last night hit out at the ` evil "" person who gave her the designer drug Ecstasy ."
__label__1(1),"The exodus of East Germans continued : 18,000 streamed <head>into</head> West Germany before their country took belated action to plug the last hole in its borders by requiring visas for all future trips to Czechoslovakia ."
__label__18(5),I now sat <head>by</head> her bedside and worked out ratios .
__label__6(5),""" But at least he died <head>for</head> what he believed in ! """
__label__1(1),Filming <head>in</head> the Soviet Union is full of uncertainties .
__label__1(1),"Sung was kneeling <head>on</head> the top of the dyke , staring across at the House as the dawn broke ."
__label__2(2),"I awoke <head>at</head> the sounding of five o'clock reveille , shivering in the bitter cold ."
__label__1(1),"He glanced <head>across</head> the table , saw me smiling , interpreted my thought and gave me a slow ironic blink ."
__label__1(1),Improved communication <head>about</head> children and the problems which they faced outside school was not simply a consequence of a rapidly changing society .
__label__10(7),"When the British evicted the Mughals <head>from</head> the Red Fort in 1857 , some of the court eunuchs had come to live nearby , a few minutes ' walk from the Turkman Gate ."
__label__7(5),"` Estelle 's delight <head>in</head> Thomas made your mother very happy , "" Ashley recalled , her head resting against his chest ."
__label__3(3),"For Julius , in particular , it had been completely out of character , that headlong dash <head>into</head> such an intense relationship ."
__label__5(3a),"We all found him interesting , so when we lay in the sun after lunch , the white gravel covering our backs <head>with</head> powdery marks , his fighting demonstrations were keenly attended ."
__label__1(1),In no time at all they were coasting <head>down</head> the slope out of the car park .
__label__8(2c),"Rumour has it that he has taken up residence in the port of Leith , near enough to Edinburgh but , should matters go wrong , the best place for his departure <head>by</head> land or sea ."
__label__6(6),Take a tiny ball of fondant and flatten <head>into</head> a petal shape .
__label__10(3),On one of his walks <head>through</head> Murray Park ( now King George VI Park ) he encountered a young Hispanic who was playing the guitar to himself .
__label__1(1),We shall find reason for disquiet <head>about</head> this argument .
__label__10(4),Jay could have slammed her head <head>against</head> the table and wept .
__label__1(1),"His soup bowl snaked <head>from</head> his tray , tipped , tilted , the liquid ran steaming to the bowl in front of Byrkin ."
__label__13(10),"If one tries to deduce human behavior <head>from</head> the laws of science , one gets caught in the logical paradox of self-referencing systems ."
__label__4(3),The agreement to buy seventy-two new pubs <head>from</head> Inntreprenuer Estates Limited will bring the total number of Morland pubs to just under four hundred .
__label__1(1),"And when the rain threatened to overflow our collective high water mark , we adjourned for coffee and a chat <head>about</head> Neil Kinnock ."
__label__17(8),A GUIDED circular tour <head>on</head> Sunday will look at the woodlands and village at Styal Country Park .
__label__3(1b),"Mr Rowse 's patients , forever winding <head>down</head> the path , oppressed Ken with the sense of his own age and mortality ."
__label__3(1b)-1,"It was one of the bagful <head>of</head> jokes that friends had given Alan , 50 , of Henley , Oxon , as he sails around Africa on a four-month trek ."
__label__3(1b),"The road worsened as I edged gingerly down along the country 's sunken spine , vanishing at times in coils <head>of</head> thick black mud ."
__label__1(1),He jabbered <head>about</head> football for the first five minutes to smother her angry silence .
__label__5(1d)-1,The injured man was supported by his colleague as they got out and fled <head>through</head> a security gate .
__label__17(8),Soon Maggie held a golden ball <head>of</head> thread and St Margaret had one end of it firmly attached to her finger .
